Convention type,Pattern,Example,Frequency,Scope
imports,Static imports from org.openrewrite.test,org.openrewrite.test.SourceSpecs.text,,project-wide
naming,Test suffix for classes,AddToGitignoreTest,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.assertThat,,project-wide
imports,Static imports from org.openrewrite.marker.GitProvenance,org.openrewrite.marker.GitProvenance.AutoCRLF.False,,project-wide
naming,should* method naming pattern,shouldNotStripJgit,,project-wide
imports,Static imports from java.nio.charset,java.nio.charset.StandardCharsets.ISO_8859_1,,project-wide
naming,can* method naming pattern,canPrintParseError,,project-wide
naming,delete* method naming pattern,deleteFileByReturningNullFromVisit,,project-wide
imports,Static imports from org.junit.jupiter.api,org.junit.jupiter.api.Assertions.assertDoesNotThrow,,project-wide
imports,Static imports from org.openrewrite.scheduling,org.openrewrite.scheduling.WorkingDirectoryExecutionContextView.WORKING_DIRECTORY_ROOT,,project-wide
naming,Exception suffix for classes,BoomException,,project-wide
naming,validate* method naming pattern,validateExecutionContext,,project-wide
naming,load* method naming pattern,loadRecipeWithRecipeDataStringThatThrowsNoClassDefFoundError,,project-wide
imports,Static imports from com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.core.JsonParser.Feature.INCLUDE_SOURCE_IN_LOCATION,,project-wide
imports,Static imports from org.openrewrite.jgit.lib,org.openrewrite.jgit.lib.ConfigConstants.CONFIG_BRANCH_SECTION,,project-wide
naming,init* method naming pattern,initGitWithOneCommit,,project-wide
imports,Static imports from org.openrewrite.marketplace,org.openrewrite.marketplace.RecipeBundle.runtimeClasspath,,project-wide
naming,update* method naming pattern,updateMicro,,project-wide
imports,Static imports from org.assertj.core.groups,org.assertj.core.groups.Tuple.tuple,,project-wide
naming,Manager suffix for classes,PackageManager,,project-wide
naming,Service suffix for classes,PythonAutoFormatService,,project-wide
imports,Static imports from org.openrewrite.python,org.openrewrite.python.Assertions.*,,project-wide
naming,format* method naming pattern,formatAfterWithNewLines,,project-wide
imports,Static imports from org.junit.jupiter.api.extension,org.junit.jupiter.api.extension.ExtensionContext.Namespace,,project-wide
naming,Spec suffix for classes,RecipeSpec,,project-wide
naming,Utils suffix for classes,RewriteTestUtils,,project-wide
imports,Static imports from org.openrewrite.java,org.openrewrite.java.Assertions.java,,project-wide
imports,Static imports from org.openrewrite.groovy,org.openrewrite.groovy.Assertions.groovy,,project-wide
imports,Static imports from org.openrewrite.protobuf,org.openrewrite.protobuf.Assertions.proto,,project-wide
imports,Static imports from org.openrewrite.xml,org.openrewrite.xml.AddToTagVisitor.addToTag,,project-wide
imports,Static imports from org.openrewrite.xml.format,org.openrewrite.xml.format.AutodetectGeneralFormatStyle.autodetectGeneralFormatStyle,,project-wide
imports,Static imports from org.openrewrite.format,org.openrewrite.format.LineBreaks.normalizeNewLines,,project-wide
imports,Static imports from java.util.function,java.util.function.Function.identity,,project-wide
imports,Static imports from org.openrewrite.java.tree,org.openrewrite.java.tree.Space.EMPTY,,project-wide
imports,Static imports from org.openrewrite.scala,org.openrewrite.scala.Assertions.scala,,project-wide
naming,convert* method naming pattern,convertMultiline,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaType.GenericTypeVariable,org.openrewrite.java.tree.JavaType.GenericTypeVariable.Variance.*,,project-wide
imports,Static imports from org.openrewrite.hcl,org.openrewrite.hcl.Assertions.hcl,,project-wide
imports,Static imports from org.openrewrite.gradle.marker,org.openrewrite.gradle.marker.GradleSettingsBuilder.GRADLE_PLUGIN_PORTAL,,project-wide
naming,Impl suffix for classes,OpenRewriteModelImpl,,project-wide
imports,Static imports from org.openrewrite.gradle,org.openrewrite.gradle.Assertions.buildGradle,,project-wide
imports,Static imports from java.util,java.util.Collections.singletonList,,project-wide
imports,Static imports from java.util.stream,java.util.stream.Collectors.toList,,project-wide
imports,Static imports from org.openrewrite,org.openrewrite.Tree.randomId,,project-wide
imports,Static imports from org.openrewrite.internal,org.openrewrite.internal.StringUtils.isBlank,,project-wide
naming,get* method naming pattern,getVisitor,,project-wide
naming,find* method naming pattern,findEntryIndex,,project-wide
naming,is* method naming pattern,isCommentAlreadyPresent,,project-wide
naming,update* method naming pattern,updateValue,,project-wide
naming,parse* method naming pattern,parseInputs,,project-wide
naming,Builder suffix for classes,Builder,,project-wide
naming,UPPER_SNAKE_CASE for constants,PROPERTIES_MARKER_WRAPPER,,project-wide
comments,Methods have Javadoc documentation,find,,project-wide
naming,camelCase for constants,applicationPropertiesMatcher,,project-wide
comments,Classes have Javadoc documentation,Value,,project-wide
imports,Static imports from org.openrewrite.properties,org.openrewrite.properties.Assertions.properties,,project-wide
naming,Test suffix for classes,AddPropertyCommentTest,,project-wide
naming,should* method naming pattern,shouldAddCommentToFirstProperty,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.assertThat,,project-wide
imports,Static imports from org.junit.jupiter.api,org.junit.jupiter.api.Assertions.assertTrue,,project-wide
naming,create* method naming pattern,createNewKeysFalse,,project-wide
naming,has* method naming pattern,hasCreatedPropertiesFile,,project-wide
naming,delete* method naming pattern,deleteOnlyProperty,,project-wide
imports,Static imports from org.openrewrite.test,org.openrewrite.test.RewriteTest.toRecipe,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaType.GenericTypeVariable,org.openrewrite.java.tree.JavaType.GenericTypeVariable.Variance.*,,project-wide
imports,Static imports from org.openrewrite.java,org.openrewrite.java.Assertions.java,,project-wide
naming,validate* method naming pattern,validateReservedKeyword,,project-wide
imports,Static imports from org.openrewrite.xml,org.openrewrite.xml.Assertions.xml,,project-wide
imports,Static imports from org.openrewrite.yaml,org.openrewrite.yaml.Assertions.yaml,,project-wide
naming,can* method naming pattern,canLoadRecipeWithZeroArgsConstructorAndPrimaryConstructor,,project-wide
imports,Static imports from org.openrewrite.kotlin,org.openrewrite.kotlin.Assertions.kotlin,,project-wide
naming,Tests suffix for classes,NestedAnnotationsTests,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaType,org.openrewrite.java.tree.JavaType.ShallowClass.build,,project-wide
imports,Static imports from org.openrewrite.groovy,org.openrewrite.groovy.Assertions.groovy,,project-wide
naming,handle* method naming pattern,handleThrowsExtendsImplements,,project-wide
naming,init* method naming pattern,initBlocks,,project-wide
imports,Static imports from org.openrewrite.style,org.openrewrite.style.LineWrapSetting.*,,project-wide
imports,Static imports from org.openrewrite.java.marker,org.openrewrite.java.marker.JavaSourceSet.gavFromPath,,project-wide
naming,build* method naming pattern,buildJavaSourceSet,,project-wide
imports,Static imports from org.openrewrite.java.table,org.openrewrite.java.table.TypeMappings.Row,,project-wide
naming,Base prefix for base classes,Base,,project-wide
naming,Exception suffix for classes,JsonParsingException,,project-wide
imports,Static imports from org.openrewrite.format,org.openrewrite.format.LineBreaks.normalizeNewLines,,project-wide
imports,Static imports from org.openrewrite.rpc,org.openrewrite.rpc.Reference.asRef,,project-wide
imports,Static imports from java.util.function,java.util.function.Function.identity,,project-wide
naming,format* method naming pattern,formatFirstPrefix,,project-wide
imports,Static imports from org.openrewrite.json,org.openrewrite.json.Assertions.json,,project-wide
imports,Static imports from org.openrewrite.json.style,org.openrewrite.json.style.WrappingAndBracesStyle.OBJECTS_WRAP_ARRAYS_DONT,,project-wide
imports,Static imports from org.openrewrite.marketplace,org.openrewrite.marketplace.RecipeBundle.runtimeClasspath,,project-wide
naming,Manager suffix for classes,PackageManager,,project-wide
naming,set* method naming pattern,setFactory,,project-wide
naming,Service suffix for classes,JavaScriptAutoFormatService,,project-wide
imports,Static imports from org.openrewrite.javascript,org.openrewrite.javascript.Assertions.*,,project-wide
imports,Static imports from org.openrewrite.marker,org.openrewrite.marker.Markup.info,,project-wide
imports,Static imports from java.lang,java.lang.Boolean.TRUE,,project-wide
imports,Static imports from org.openrewrite.gradle.AddDependencyVisitor,org.openrewrite.gradle.AddDependencyVisitor.DependencyModifier.ENFORCED_PLATFORM,,project-wide
naming,Configuration suffix for classes,ChangeDependencyConfiguration,,project-wide
imports,Static imports from org.openrewrite.gradle.RemoveRedundantDependencyVersions,org.openrewrite.gradle.RemoveRedundantDependencyVersions.Comparator.*,,project-wide
naming,Repository suffix for classes,RemoveRepository,,project-wide
imports,Static imports from org.openrewrite.gradle.util,org.openrewrite.gradle.util.GradleWrapper.*,,project-wide
imports,Static imports from org.openrewrite.gradle,org.openrewrite.gradle.UpgradeDependencyVersion.getGradleProjectKey,,project-wide
imports,Static imports from org.openrewrite.java.tree,org.openrewrite.java.tree.Space.EMPTY,,project-wide
imports,Static imports from org.openrewrite.gradle.marker,org.openrewrite.gradle.marker.GradleDependencyConfiguration.updateExtendsFrom,,project-wide
naming,Handler suffix for classes,FindDependencyHandler,,project-wide
imports,Static imports from org.openrewrite.gradle.trait,org.openrewrite.gradle.trait.GradleDependency.isDependencyDeclaration,,project-wide
naming,Spec suffix for classes,PluginSpec,,project-wide
imports,Static imports from org.openrewrite.gradle.toolingapi,org.openrewrite.gradle.toolingapi.Assertions.withToolingApi,,project-wide
imports,Static imports from org.openrewrite.toml,org.openrewrite.toml.Assertions.toml,,project-wide
naming,process* method naming pattern,processVersion,,project-wide
naming,load* method naming pattern,loadScript,,project-wide
imports,Static imports from org.openrewrite.maven.search,org.openrewrite.maven.search.EffectiveMavenRepositoriesTable.Row,,project-wide
imports,Static imports from org.openrewrite.maven,org.openrewrite.maven.Assertions.pomXml,,project-wide
imports,Static imports from java.lang.annotation,java.lang.annotation.ElementType.METHOD,,project-wide
imports,Static imports from org.openrewrite.java.tree.TypeUtils,org.openrewrite.java.tree.TypeUtils.ComparisonContext.BOUND,,project-wide
